FILENAME,Dataset,Nb inputs,Fq DKO,Fq DKN,Fq TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Familiarity Nb inputs,Familiarity Mean,Familiarity StDev,Visual complexity Nb inputs,Visual complexity Mean,Visual complexity StDev,Nb categories (answer1),Nb categories (answer2),Nb categories (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value
barbecue03,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Barbecue,15,0.35714285714285715,0.35714285714285715,8,2.3371099050549797,42,4.809523809523809,0.4546826949399071,41,3.024390243902439,1.3872239343027641,33,1,34,Outdoor activity & sport item,15,0,0.45454545454545453,0.4411764705882353,2.1178023804140635
bowlofchips,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,bowl of chips,17,0.40476190476190477,0.40476190476190477,9,2.260300167725768,42,4.809523809523809,0.5054867366041316,42,2.2142857142857144,1.1798245898089132,33,2,35,Food,33,0,1,0.9428571428571428,0
cartonofeggs,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Egg carton,19,0.4523809523809524,0.4523809523809524,6,1.54895443442504,42,4.809523809523809,0.5942035143723493,42,2.238095238095238,1.2842293657595634,33,1,34,Food,30,1,0.9090909090909091,0.9117647058823529,0.5229784263810124
corn02,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,corn,27,0.6428571428571429,0.6428571428571429,5,1.3819433665067622,42,4.809523809523809,0.6339229482337178,42,2.4047619047619047,1.3445377083760293,33,0,33,Food,33,0,1,1,0
couch02,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Couch,21,0.5,0.5,5,1.7549843063184085,42,4.809523809523809,0.5054867366041316,42,2.119047619047619,0.992714459286818,33,0,33,Furniture,32,0,0.9696969696969697,0.9696969696969697,0.19590927087360496
cupcake,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,cupcake,40,0.9523809523809523,0.9523809523809523,3,0.3238144752669867,42,4.809523809523809,0.4546826949399071,42,2.261904761904762,1.0135550524599122,33,0,33,Food,31,0,0.9393939393939394,0.9393939393939394,0.39045213081320695
donotwalksign,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Do not walk Sign,5,0.11904761904761904,0.11904761904761904,28,4.603759911379625,42,4.809523809523809,0.4546826949399071,42,2.357142857142857,1.1438366882286906,33,3,36,Building infrastructure,17,0,0.5151515151515151,0.4722222222222222,2.0067651556184765
escalator,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Escalator,38,0.9047619047619048,0.9047619047619048,4,0.5965734820440876,42,4.809523809523809,0.4546826949399071,42,2.642857142857143,1.3033059010750332,32,0,32,Building infrastructure,28,0,0.875,0.875,0.6449742087569879
sink,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,sink,31,0.7380952380952381,0.7380952380952381,5,1.164220146064638,42,4.809523809523809,0.39743661793163776,42,2.1904761904761907,0.9687330231549802,32,2,34,Skincare & bathroom item,20,1,0.625,0.6176470588235294,1.65020470625279
waterfountain02,BOSS-2014 (v.2),42,0,0,2,0,0,0.047619047619047616,40,water fountain,31,0.7380952380952381,0.775,4,1.0446815792293604,42,4.809523809523809,0.4546826949399071,42,2.357142857142857,1.1438366882286906,33,3,36,Building infrastructure,21,1,0.6363636363636364,0.6111111111111112,1.9005019713984261
bed,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,bed,34,0.8095238095238095,0.8095238095238095,5,0.9974751114228471,41,4.804878048780488,0.45932081354549886,41,1.975609756097561,1.0365279754557708,33,0,33,Furniture,31,0,0.9393939393939394,0.9393939393939394,0.39045213081320695
aluminiumfoil,BOSS-2014 (v.2),42,0,1,0,0,0.023809523809523808,0,41,Aluminum foil,19,0.4523809523809524,0.4634146341463415,8,2.2188985605579568,42,4.785714285714286,0.6062968075252669,42,1.880952380952381,0.992714459286818,33,0,33,Kitchen & utensil,28,0,0.8484848484848485,0.8484848484848485,0.7607327460318964
basketball01,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Basketball,40,0.9523809523809523,0.9523809523809523,3,0.3238144752669867,42,4.785714285714286,0.4703768227715907,42,1.8333333333333333,1.0573013661495898,33,1,34,Outdoor activity & sport item,31,0,0.9393939393939394,0.9117647058823529,0.32984607020714635
bathtub,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,bathtub,35,0.8333333333333334,0.8333333333333334,3,0.7938758497427927,42,4.785714285714286,0.4703768227715907,42,2.261904761904762,1.0135550524599122,32,4,36,Skincare & bathroom item,17,2,0.53125,0.5277777777777778,1.7259037244874984
electricoutlet,BOSS-2014 (v.2),42,0,3,0,0,0.07142857142857142,0,39,Electric outlet,11,0.2619047619047619,0.28205128205128205,12,2.994685287576234,42,4.785714285714286,0.5196487690792451,42,1.6904761904761905,0.869204717476093,33,2,35,Electronic device & accessory,15,1,0.45454545454545453,0.45714285714285713,1.9915964096146535
